16, 200, PA4-K-Unknown-SampleReadingsTest.txt 0
  -52.21,   -16.64,   129.50
   -6.30,    23.58,    75.78
  -47.45,    38.13,   121.85
   41.21,     8.51,   105.88
   30.90,   -26.32,    59.19
    0.81,    37.40,    54.75
  -14.44,   -26.44,   -81.23
    7.06,     9.93,   -45.32
   17.77,     5.97,  -104.25
    4.63,    -2.08,   -61.47
   22.22,    22.29,   -92.33
  -37.97,    20.39,   -87.05
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -72.81,   -51.34,   119.64
  -26.84,   -11.22,    65.94
  -68.12,     3.44,   112.03
   20.79,   -26.17,    96.03
   10.37,   -60.98,    49.49
  -19.77,     2.74,    44.80
  -12.36,   -22.74,   -80.37
   10.18,    12.83,   -44.31
   19.96,     9.38,  -103.37
    7.37,     1.00,   -60.55
   25.06,    25.48,   -91.25
  -35.38,    24.40,   -85.29
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -53.62,   -54.92,    93.07
   -7.92,   -14.69,    39.33
  -48.95,    -0.09,    85.30
   39.77,   -29.75,    69.36
   29.36,   -64.53,    22.82
   -0.65,    -0.95,    18.24
  -12.71,   -24.93,   -79.64
    9.07,    10.79,   -43.28
   19.74,     7.40,  -102.24
    6.49,    -0.92,   -59.46
   24.32,    23.61,   -89.93
  -35.95,    22.17,   -84.86
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -87.90,   -32.84,    86.31
  -42.12,     7.12,    32.51
  -83.28,    21.87,    78.73
    5.52,    -7.75,    62.60
   -4.73,   -42.70,    15.96
  -34.86,    21.00,    11.56
  -16.98,   -24.53,   -78.23
    4.61,    11.68,   -42.35
   14.65,     8.00,  -101.32
    2.08,    -0.14,   -58.53
   19.39,    24.43,   -89.35
  -40.95,    22.20,   -83.61
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -39.81,   -14.01,   169.11
    5.94,    26.20,   115.45
  -35.12,    40.68,   161.66
   53.54,    11.27,   145.58
   43.21,   -23.71,    98.92
   13.01,    40.05,    94.51
  -12.11,   -25.57,   -78.17
    9.57,    10.64,   -42.17
   19.81,     6.81,  -101.11
    7.13,    -1.31,   -58.34
   24.38,    23.29,   -89.08
  -35.92,    21.36,   -83.46
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -37.94,   -25.86,    99.57
    7.93,    14.28,    45.89
  -33.22,    28.82,    91.97
   55.43,    -0.69,    75.82
   45.10,   -35.54,    29.33
   14.94,    28.14,    24.68
  -18.28,   -23.76,   -80.18
    4.28,    12.34,   -44.40
   14.17,     8.28,  -103.41
    1.36,     0.29,   -60.52
   19.04,    24.54,   -91.33
  -41.31,    23.60,   -85.61
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -31.53,   -40.78,   161.36
   14.36,    -0.79,   107.66
  -26.79,    13.78,   153.78
   62.02,   -15.65,   137.70
   51.48,   -50.48,    91.15
   21.52,    13.06,    86.54
  -10.45,   -25.37,   -81.18
   11.18,    10.89,   -45.06
   21.47,     7.24,  -103.95
    8.63,    -1.05,   -61.31
   25.92,    23.61,   -91.96
  -34.24,    21.46,   -86.53
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -36.14,   -14.07,    99.42
    9.70,    26.05,    45.68
  -31.43,    40.59,    91.68
   57.36,    11.00,    75.87
   46.97,   -23.85,    29.13
   16.91,    39.69,    24.71
  -16.94,   -25.68,   -79.70
    5.31,    10.13,   -43.62
   15.29,     6.82,  -102.52
    2.72,    -1.74,   -59.90
   20.23,    22.98,   -90.47
  -40.10,    21.46,   -84.56
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -31.69,   -38.61,   149.44
   14.12,     1.62,    95.69
  -26.93,    16.30,   141.84
   61.68,   -13.39,   125.80
   51.43,   -48.19,    79.22
   21.30,    15.53,    74.57
  -15.49,   -24.94,   -81.80
    5.91,    11.31,   -45.61
   16.69,     7.58,  -104.36
    3.57,    -0.62,   -61.84
   21.35,    23.85,   -92.32
  -39.05,    21.94,   -87.46
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
    0.00,     0.00,     0.00
  -78.00,   -65.86,    97.23
  -32.24,   -25.64,    43.53
  -73.40,   -11.07,    89.66
   15.31,   -40.74,    73.69
    5.06,   -75.46,    27.04
  -25.20,   -11.92,    22.41
